Episode,Average Success Rate
1,0.00
2,0.00
3,0.00
4,0.01
5,0.01
6,0.02
7,0.04
8,0.06
9,0.09
10,0.13
11,0.17
12,0.21
13,0.24
14,0.27
15,0.30
16,0.32
17,0.35
18,0.37
19,0.39
20,0.41
21,0.43
22,0.44
23,0.46
24,0.47
25,0.49
26,0.50
27,0.51
28,0.52
29,0.53
30,0.53
31,0.54
32,0.55
33,0.56
34,0.56
35,0.57
36,0.58
37,0.58
38,0.59
39,0.59
40,0.60
41,0.61
42,0.61
43,0.61
44,0.62
45,0.62
46,0.63
47,0.63
48,0.63
49,0.64
50,0.64
51,0.65
52,0.65
53,0.65
54,0.65
55,0.66
56,0.66
57,0.66
58,0.67
59,0.67
60,0.67
61,0.67
62,0.68
63,0.68
64,0.68
65,0.68
66,0.68
67,0.69
68,0.69
69,0.69
70,0.69
71,0.69
72,0.69
73,0.69
74,0.70
75,0.70
76,0.70
77,0.70
78,0.70
79,0.70
80,0.70
81,0.71
82,0.71
83,0.71
84,0.71
85,0.71
86,0.71
87,0.72
88,0.72
89,0.72
90,0.72
91,0.72
92,0.72
93,0.72
94,0.72
95,0.72
96,0.72
97,0.72
98,0.72
99,0.73
100,0.73
101,0.73
102,0.73
103,0.73
104,0.73
105,0.73
106,0.73
107,0.73
108,0.73
109,0.73
110,0.73
111,0.73
112,0.73
113,0.74
114,0.74
115,0.74
116,0.74
117,0.74
118,0.74
119,0.74
120,0.74
121,0.74
122,0.74
123,0.74
124,0.74
125,0.74
126,0.74
127,0.74
128,0.74
129,0.74
130,0.74
131,0.74
132,0.74
133,0.75
134,0.75
135,0.75
136,0.75
137,0.75
138,0.75
139,0.75
140,0.75
141,0.75
142,0.75
143,0.75
144,0.75
145,0.75
146,0.75
147,0.75
148,0.75
149,0.75
150,0.75
151,0.75
152,0.75
153,0.75
154,0.75
155,0.75
156,0.75
157,0.75
158,0.75
159,0.76
160,0.76
161,0.76
162,0.76
163,0.76
164,0.76
165,0.76
166,0.76
167,0.76
168,0.76
169,0.76
170,0.76
171,0.76
172,0.76
173,0.76
174,0.76
175,0.76
176,0.76
177,0.76
178,0.76
179,0.76
180,0.76
181,0.76
182,0.76
183,0.76
184,0.76
185,0.76
186,0.76
187,0.76
188,0.76
189,0.76
190,0.76
191,0.76
192,0.76
193,0.76
194,0.76
195,0.76
196,0.76
197,0.76
198,0.76
199,0.76
200,0.76
